"Trace Number","Position","Number of points per trace","Elevation data","Total odometer ticks","# bytes/point","Time Sampling Interval (ps)","# of stacks","GPS X Position","GPS Y Position","GPS Z Position","Receiver X Position","Receiver Y Position","Receiver Z Position","Transmitter X Position","Transmitter Y Position","Transmitter Z Position","Timezero adjustment","Zero Trace Flag","Time of Day","Comment flag","Comments","RX_YAW (degrees)","RX_PITCH (degrees)","RX_ROLL (degrees)","TX_YAW (degrees)","TX_PITCH (degrees)","TX_ROLL (degrees)",
261,26.000,200,1761.149,28080,4,400.000,4,-105.2212733,39.7514688,1761.1490000,0.000,26.000,0.000,0.000,26.000,0.000,21.000,"0x0",3187.491943359375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
262,26.100,200,1761.153,28188,4,400.000,4,-105.2212739,39.7514685,1761.1530000,0.000,26.100,0.000,0.000,26.100,0.000,21.000,"0x0",3187.5869140625,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
263,26.200,200,1761.157,28296,4,400.000,4,-105.2212746,39.7514682,1761.1570000,0.000,26.200,0.000,0.000,26.200,0.000,21.000,"0x0",3187.6826171875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
264,26.300,200,1761.161,28404,4,400.000,4,-105.2212752,39.7514679,1761.1610000,0.000,26.300,0.000,0.000,26.300,0.000,21.000,"0x0",3187.78271484375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
265,26.400,200,1761.165,28512,4,400.000,4,-105.2212759,39.7514675,1761.1650000,0.000,26.400,0.000,0.000,26.400,0.000,21.000,"0x0",3187.880126953125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
266,26.500,200,1761.169,28620,4,400.000,4,-105.2212765,39.7514672,1761.1690000,0.000,26.500,0.000,0.000,26.500,0.000,21.000,"0x0",3187.978759765625,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
267,26.600,200,1761.173,28728,4,400.000,4,-105.2212772,39.7514669,1761.1730000,0.000,26.600,0.000,0.000,26.600,0.000,21.000,"0x0",3188.091552734375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
268,26.700,200,1761.177,28836,4,400.000,4,-105.2212779,39.7514665,1761.1770000,0.000,26.700,0.000,0.000,26.700,0.000,21.000,"0x0",3188.1982421875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
269,26.800,200,1761.179,28944,4,400.000,4,-105.2212786,39.7514661,1761.1790000,0.000,26.800,0.000,0.000,26.800,0.000,21.000,"0x0",3188.294189453125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
270,26.900,200,1761.181,29052,4,400.000,4,-105.2212793,39.7514658,1761.1810000,0.000,26.900,0.000,0.000,26.900,0.000,21.000,"0x0",3188.390869140625,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
271,27.000,200,1761.183,29160,4,400.000,4,-105.2212800,39.7514654,1761.1830000,0.000,27.000,0.000,0.000,27.000,0.000,21.000,"0x0",3188.5107421875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
272,27.100,200,1761.185,29268,4,400.000,4,-105.2212807,39.7514650,1761.1850000,0.000,27.100,0.000,0.000,27.100,0.000,21.000,"0x0",3188.60888671875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
273,27.200,200,1761.187,29376,4,400.000,4,-105.2212814,39.7514646,1761.1870000,0.000,27.200,0.000,0.000,27.200,0.000,21.000,"0x0",3188.701904296875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
274,27.300,200,1761.189,29484,4,400.000,4,-105.2212821,39.7514643,1761.1890000,0.000,27.300,0.000,0.000,27.300,0.000,21.000,"0x0",3188.810791015625,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
275,27.400,200,1761.191,29592,4,400.000,4,-105.2212828,39.7514639,1761.1910000,0.000,27.400,0.000,0.000,27.400,0.000,21.000,"0x0",3188.917236328125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
276,27.500,200,1761.193,29700,4,400.000,4,-105.2212836,39.7514635,1761.1930000,0.000,27.500,0.000,0.000,27.500,0.000,21.000,"0x0",3189.0146484375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
277,27.600,200,1761.195,29808,4,400.000,4,-105.2212842,39.7514632,1761.1950000,0.000,27.600,0.000,0.000,27.600,0.000,21.000,"0x0",3189.11328125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
278,27.700,200,1761.198,29916,4,400.000,4,-105.2212848,39.7514629,1761.1976364,0.000,27.700,0.000,0.000,27.700,0.000,21.000,"0x0",3189.212646484375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
279,27.800,200,1761.200,30024,4,400.000,4,-105.2212854,39.7514626,1761.2002727,0.000,27.800,0.000,0.000,27.800,0.000,21.000,"0x0",3189.311767578125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
280,27.900,200,1761.203,30132,4,400.000,4,-105.2212860,39.7514623,1761.2029091,0.000,27.900,0.000,0.000,27.900,0.000,21.000,"0x0",3189.404052734375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
281,28.000,200,1761.206,30240,4,400.000,4,-105.2212867,39.7514620,1761.2055455,0.000,28.000,0.000,0.000,28.000,0.000,21.000,"0x0",3189.49658203125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
282,28.100,200,1761.208,30348,4,400.000,4,-105.2212873,39.7514617,1761.2081818,0.000,28.100,0.000,0.000,28.100,0.000,21.000,"0x0",3189.599609375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
283,28.200,200,1761.211,30456,4,400.000,4,-105.2212879,39.7514614,1761.2108182,0.000,28.200,0.000,0.000,28.200,0.000,21.000,"0x0",3189.69970703125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
284,28.300,200,1761.214,30564,4,400.000,4,-105.2212885,39.7514611,1761.2134545,0.000,28.300,0.000,0.000,28.300,0.000,21.000,"0x0",3189.790771484375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
285,28.400,200,1761.216,30672,4,400.000,4,-105.2212891,39.7514608,1761.2160909,0.000,28.400,0.000,0.000,28.400,0.000,21.000,"0x0",3189.890869140625,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
286,28.500,200,1761.219,30780,4,400.000,4,-105.2212897,39.7514605,1761.2187273,0.000,28.500,0.000,0.000,28.500,0.000,21.000,"0x0",3189.999267578125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
