"","TRACE",1,2,3,4,5
"","Position (m)",0,0.10000000000000001,0.20000000000000001,0.30000000000000004,0.40000000000000002
"Point","Time (ns)"
490,-452.42399999999998,40,14,-142,-10,49
491,-452.024,-130,-56,-8,50,39
492,-451.62400000000002,28,25,8,-171,169
493,-451.22399999999999,129,-163,-41,-102,178
494,-450.82400000000001,-105,74,-36,85,-6
495,-450.42399999999998,-13,9,10,83,-46
496,-450.024,48,-124,36,50,-4
497,-449.62400000000002,165,-19,-25,31,27
498,-449.22399999999999,-118,-60,-106,84,253
499,-448.82400000000001,77,-47,-320,-69,-34
500,-448.42399999999998,-180,-28,100,34,56
501,-448.024,-178,40,93,-129,-72
502,-447.62400000000002,-25,-108,-51,-95,-40
503,-447.22399999999999,79,108,-41,-96,72
504,-446.82400000000001,-76,64,116,-57,99
505,-446.42399999999998,69,26,40,-92,-64
506,-446.024,131,-3,-123,12,-139
507,-445.62400000000002,-40,65,0,90,203
508,-445.22399999999999,92,-34,89,60,132
509,-444.82400000000001,60,1,279,-15,185
510,-444.42399999999998,183,-1,-108,-28,5
511,-444.024,-18,26,-29,-158,-11
512,-443.62400000000002,145,33,99,-83,-85
513,-443.22399999999999,-82,36,-99,-29,-18
514,-442.82400000000001,73,17,-4,-37,52
515,-442.42399999999998,83,-17,41,110,33
516,-442.024,-111,-27,61,-140,-36
517,-441.62400000000002,29,51,33,51,7
518,-441.22399999999999,43,1,51,177,-18
519,-440.82400000000001,-55,-102,138,73,63
520,-440.42399999999998,-60,-5,-76,35,-64
521,-440.024,10,-61,-77,15,-144
522,-439.62400000000002,-47,-35,41,-121,39
523,-439.22399999999999,93,-85,91,26,-14
524,-438.82400000000001,75,62,-78,104,32
525,-438.42399999999998,12,37,-84,116,15
526,-438.024,55,-92,91,69,-41
527,-437.62400000000002,108,14,244,2,57
528,-437.22399999999999,-138,160,-23,-21,94
529,-436.82400000000001,-23,5,95,86,-6
530,-436.42399999999998,-117,120,-197,249,-158
531,-436.024,-43,32,14,-16,-8
532,-435.62400000000002,58,-26,2,-38,139
533,-435.22399999999999,-2,8,53,30,-31
534,-434.82400000000001,54,20,137,-80,1
