MST (Seconds),Reading (nT),Date (MM/DD/YY)
53925.0,50272.4,11/20/25
53930.0,50272.7,11/20/25
53935.0,50272.6,11/20/25
53940.0,50271.2,11/20/25
53945.0,50272.9,11/20/25
53950.0,50273.1,11/20/25
53955.0,50272.9,11/20/25
53960.0,50272.8,11/20/25
53965.0,50273.0,11/20/25
53970.0,50273.2,11/20/25
53975.0,50272.9,11/20/25
53980.0,50272.8,11/20/25
53985.0,50273.0,11/20/25
53990.0,50273.0,11/20/25
53995.0,50273.1,11/20/25
54000.0,50273.0,11/20/25
54005.0,50273.0,11/20/25
54010.0,50272.9,11/20/25
54015.0,50272.7,11/20/25
54020.0,50272.7,11/20/25
54025.0,50272.8,11/20/25
54030.0,50272.5,11/20/25
54035.0,50272.2,11/20/25
54040.0,50272.3,11/20/25
54045.0,50272.4,11/20/25
54050.0,50272.3,11/20/25
54055.0,50272.2,11/20/25
54060.0,50272.0,11/20/25
54065.0,50272.4,11/20/25
54070.0,50272.4,11/20/25
54075.0,50272.6,11/20/25
54080.0,50272.3,11/20/25
54085.0,50272.4,11/20/25
54090.0,50272.4,11/20/25
54095.0,50272.5,11/20/25
54100.0,50272.5,11/20/25
54105.0,50272.7,11/20/25
54110.0,50272.6,11/20/25
54115.0,50272.7,11/20/25
54120.0,50272.4,11/20/25
54125.0,50272.2,11/20/25
54130.0,50272.3,11/20/25
54135.0,50272.4,11/20/25
54140.0,50272.7,11/20/25
54145.0,50272.7,11/20/25
54150.0,50272.5,11/20/25
54155.0,50272.6,11/20/25
54160.0,50272.6,11/20/25
54165.0,50272.0,11/20/25
54170.0,50272.7,11/20/25
54175.0,50272.9,11/20/25
54180.0,50272.9,11/20/25
54185.0,50273.1,11/20/25
54190.0,50273.1,11/20/25
54195.0,50273.0,11/20/25
54200.0,50273.1,11/20/25
54205.0,50273.0,11/20/25
54210.0,50273.1,11/20/25
54215.0,50273.1,11/20/25
54220.0,50273.1,11/20/25
54225.0,50273.3,11/20/25
54230.0,50273.1,11/20/25
54235.0,50273.1,11/20/25
54240.0,50272.8,11/20/25
54245.0,50273.0,11/20/25
54250.0,50272.9,11/20/25
54255.0,50272.9,11/20/25
54260.0,50272.9,11/20/25
54265.0,50272.9,11/20/25
54270.0,50273.0,11/20/25
54275.0,50270.2,11/20/25
54280.0,50273.3,11/20/25
54285.0,50273.3,11/20/25
54290.0,50273.2,11/20/25
54295.0,50273.1,11/20/25
54300.0,50273.1,11/20/25
54305.0,50273.3,11/20/25
54310.0,50273.2,11/20/25
54315.0,50272.6,11/20/25
54320.0,50273.1,11/20/25
54325.0,50272.8,11/20/25
54330.0,50272.9,11/20/25
54335.0,50273.2,11/20/25
54340.0,50273.3,11/20/25
54345.0,50273.3,11/20/25
54350.0,50273.2,11/20/25
54355.0,50273.4,11/20/25
54360.0,50272.9,11/20/25
54365.0,50273.1,11/20/25
54370.0,50273.2,11/20/25
54375.0,50273.5,11/20/25
54380.0,50273.5,11/20/25
54385.0,50273.3,11/20/25
54390.0,50273.4,11/20/25
54395.0,50273.5,11/20/25
54400.0,50273.4,11/20/25
54405.0,50273.1,11/20/25
