Date (MM/DD/YYYY),Time (HH:MM:SS.S MST),MST (Sec),Latitude (Deg N),Longitude (Deg E),Mag (nT),Easting (m),Northing (m),UTM Zone
11/20/2025,15:29:32.5,55772.5,39.75128832,-105.2215219,50229.73904583389,481022.5247196635,4400176.708157165,13S
11/20/2025,15:29:32.6,55772.6,39.75128878,-105.2215224,50236.60579347092,481022.4820115367,4400176.759316441,13S
11/20/2025,15:29:32.7,55772.7,39.75128923,-105.2215229,50244.65305826205,481022.43930066656,4400176.80936586,13S
11/20/2025,15:29:32.8,55772.8,39.75128969,-105.2215235,50251.52765287459,481022.3880256693,4400176.860546318,13S
11/20/2025,15:29:32.9,55772.9,39.75129014,-105.221524,50259.084227032494,481022.3453147982,4400176.910595739,13S
11/20/2025,15:29:33.0,55773.0,39.7512906,-105.2215245,50266.42401711831,481022.30260667374,4400176.961755016,13S
11/20/2025,15:29:33.1,55773.1,39.75129141,-105.2215251,50270.83793593878,481022.2514277197,4400177.051780432,13S
11/20/2025,15:29:33.2,55773.2,39.75129222,-105.2215256,50275.03640666813,481022.2088156338,4400177.14178467,13S
11/20/2025,15:29:33.3,55773.3,39.75129302,-105.2215261,50278.42919482231,481022.16620080493,4400177.230679052,13S
11/20/2025,15:29:33.4,55773.4,39.75129383,-105.2215266,50280.175325908494,481022.1235887232,4400177.320683288,13S
11/20/2025,15:29:33.5,55773.5,39.75129464,-105.2215272,50283.49796171356,481022.0724097737,4400177.410708706,13S
11/20/2025,15:29:33.6,55773.6,39.75129545,-105.2215277,50286.11597052583,481022.0297976941,4400177.500712944,13S
11/20/2025,15:29:33.7,55773.7,39.75129626,-105.2215282,50290.32971897263,481021.9871856133,4400177.5907171825,13S
11/20/2025,15:29:33.8,55773.8,39.75129706,-105.2215287,50296.05823413069,481021.94457079173,4400177.679611565,13S
11/20/2025,15:29:33.9,55773.9,39.75129787,-105.2215293,50301.29036163792,481021.8933918445,4400177.769636986,13S
11/20/2025,15:29:34.0,55774.0,39.75129868,-105.2215298,50306.98943727059,481021.85077976907,4400177.859641223,13S
11/20/2025,15:29:34.1,55774.1,39.75129996,-105.2215314,50311.80643777154,481021.7140611103,4400178.002041685,13S
11/20/2025,15:29:34.2,55774.2,39.75130123,-105.221533,50317.94935515656,481021.5773397146,4400178.143332295,13S
11/20/2025,15:29:34.3,55774.3,39.75130251,-105.2215346,50321.47543938823,481021.4406210681,4400178.285732761,13S
11/20/2025,15:29:34.4,55774.4,39.75130379,-105.2215362,50323.45687372109,481021.3039024245,4400178.428133232,13S
11/20/2025,15:29:34.5,55774.5,39.75130506,-105.2215378,50327.42259420527,481021.1671810441,4400178.569423847,13S
11/20/2025,15:29:34.6,55774.6,39.75130634,-105.2215393,50335.84742689804,481021.0390292802,4400178.711803139,13S
11/20/2025,15:29:34.7,55774.7,39.75130762,-105.2215409,50349.28119170814,481020.90231065167,4400178.854203614,13S
11/20/2025,15:29:34.8,55774.8,39.7513089,-105.2215425,50369.89784812136,481020.76559203037,4400178.996604093,13S
11/20/2025,15:29:34.9,55774.9,39.75131017,-105.2215441,50393.28353297058,481020.62887067,4400179.13789472,13S
11/20/2025,15:29:35.0,55775.0,39.75131145,-105.2215457,50412.80173490763,481020.49215205666,4400179.280295204,13S
11/20/2025,15:29:35.1,55775.1,39.75131258,-105.2215464,50428.349695799465,481020.4324940885,4400179.405857206,13S
11/20/2025,15:29:35.2,55775.2,39.75131371,-105.2215471,50444.51996525273,481020.3728361201,4400179.53141921,13S
11/20/2025,15:29:35.3,55775.3,39.75131485,-105.2215478,50461.79350941816,481020.3131808979,4400179.65809107,13S
11/20/2025,15:29:35.4,55775.4,39.75131598,-105.2215485,50479.35256030929,481020.2535229357,4400179.783653076,13S
11/20/2025,15:29:35.5,55775.5,39.75131711,-105.2215492,50502.12127914836,481020.19386497536,4400179.909215082,13S
11/20/2025,15:29:35.6,55775.6,39.75131824,-105.2215499,50529.3847023816,481020.13420701266,4400180.034777088,13S
11/20/2025,15:29:35.7,55775.7,39.75131937,-105.2215506,50557.61586728526,481020.07454905624,4400180.160339094,13S
11/20/2025,15:29:35.8,55775.8,39.75132051,-105.2215513,50586.2173253705,481020.0148938461,4400180.2870109575,13S
11/20/2025,15:29:35.9,55775.9,39.75132164,-105.221552,50615.15535274458,481019.9552358915,4400180.412572965,13S
